
VECTOR CPU TIMINGS, 1424, 1425, 1436, 1445, 1414, 
VECTOR GPU TIMINGS, 157, 171, 151, 140, 150, 
ARRAY CPU TIMINGS, 1661, 1290, 1300, 1339, 1380, 
ARRAY GPU TIMINGS, 147, 155, 142, 140, 138, 
