VECTOR CPU TIMINGS,53,44,49,55,84,59,55,63,67,52,51,56,74,61,45,49,57,55,49,56, 
VECTOR GPU TIMINGS,141,136,162,140,133,134,151,139,137,157,144,155,154,153,152,135,144,132,129,139, 
ARRAY CPU TIMINGS,207,39,39,42,40,38,41,38,49,39,41,37,39,46,44,38,40,38,46,38, 
ARRAY GPU TIMINGS,138,142,148,141,131,136,137,139,141,155,137,140,140,135,136,141,145,143,138,135, 
